longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,house_prices
-121.76,37.68,35.0,1864.0,357.0,1189.0,349.0,4.2361,INLAND,170607.39
-117.68,35.64,15.0,3253.0,573.0,1408.0,586.0,5.2043,INLAND,115035.555
-118.14,33.76,50.0,914.0,167.0,322.0,165.0,4.7361,NEAR OCEAN,325973.56
-118.57,34.09,14.0,7970.0,1142.0,2926.0,1096.0,11.2866,<1H OCEAN,504407.62
-117.2,34.52,12.0,4476.0,761.0,2255.0,735.0,3.925,INLAND,119049.125
-118.66,34.18,25.0,6612.0,857.0,2519.0,843.0,8.3912,<1H OCEAN,440430.9
-118.36,33.81,34.0,2211.0,502.0,1113.0,488.0,4.7026,<1H OCEAN,367435.06
-117.16,32.79,32.0,1731.0,413.0,1569.0,427.0,3.3375,NEAR OCEAN,156406.22
-119.66,36.34,32.0,1338.0,276.0,859.0,286.0,2.6397,INLAND,68613.75
-117.8,33.64,8.0,4447.0,713.0,1680.0,705.0,8.8693,<1H OCEAN,402968.62
-118.28,34.08,40.0,1630.0,543.0,1568.0,510.0,2.7366,<1H OCEAN,192212.45
-122.3,37.56,35.0,1873.0,351.0,945.0,333.0,5.5184,NEAR OCEAN,320556.84
-121.34,38.58,18.0,1631.0,228.0,599.0,228.0,7.8031,INLAND,289812.66
-119.0,35.36,35.0,1021.0,280.0,1258.0,239.0,1.7375,INLAND,49098.137
-118.31,34.08,23.0,1443.0,521.0,1264.0,450.0,2.7543,<1H OCEAN,264776.9
-118.25,34.23,35.0,2839.0,592.0,1413.0,538.0,4.1667,<1H OCEAN,266136.53
-118.31,33.99,45.0,1489.0,339.0,791.0,316.0,2.2339,<1H OCEAN,137004.86
-122.47,37.78,52.0,2388.0,507.0,1078.0,494.0,3.5221,NEAR BAY,419905.2
-118.03,33.94,37.0,1699.0,302.0,889.0,271.0,4.3542,<1H OCEAN,196734.4
-118.96,36.49,24.0,1268.0,269.0,636.0,183.0,1.742,INLAND,70793.695
-118.07,33.87,28.0,2399.0,436.0,1613.0,429.0,3.6339,<1H OCEAN,185585.33
-122.4,37.72,40.0,1948.0,413.0,1434.0,396.0,3.0313,NEAR BAY,219107.66
-118.19,33.84,44.0,2731.0,577.0,1396.0,555.0,4.1771,NEAR OCEAN,258058.14
-118.02,33.83,16.0,1139.0,328.0,665.0,290.0,3.2933,<1H OCEAN,206473.39
-118.28,34.17,22.0,2664.0,651.0,1553.0,629.0,3.6354,<1H OCEAN,264295.6
-122.49,37.74,52.0,2302.0,457.0,1154.0,424.0,4.5744,NEAR OCEAN,323455.0
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,NEAR BAY,334354.84
-118.53,34.21,18.0,3124.0,796.0,1855.0,725.0,2.9389,<1H OCEAN,223415.94
-118.34,33.8,25.0,4177.0,832.0,2123.0,789.0,5.0814,<1H OCEAN,323703.3
-116.96,32.8,25.0,3421.0,803.0,1681.0,742.0,3.369,<1H OCEAN,157145.4
-118.5,34.02,24.0,2924.0,1013.0,1492.0,943.0,2.775,<1H OCEAN,391082.25
-122.24,37.83,52.0,1757.0,246.0,585.0,227.0,5.8948,NEAR BAY,343954.56
-118.37,33.81,33.0,5057.0,790.0,2021.0,748.0,6.8553,NEAR OCEAN,466226.75
-117.09,32.71,29.0,2238.0,523.0,2061.0,504.0,2.5559,NEAR OCEAN,106148.75
-118.25,33.8,36.0,1697.0,394.0,1274.0,396.0,3.35,<1H OCEAN,170990.67
-118.48,34.03,19.0,902.0,284.0,414.0,272.0,1.3333,<1H OCEAN,296715.47
-121.58,37.01,44.0,3192.0,565.0,1439.0,568.0,4.3693,INLAND,265223.28
-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,2.4333,NEAR BAY,121939.12
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,NEAR BAY,322766.84
-117.38,33.2,17.0,1877.0,581.0,1288.0,426.0,1.9386,NEAR OCEAN,223323.28
-122.3,38.0,34.0,1712.0,317.0,956.0,341.0,4.4394,NEAR BAY,159759.3
-119.57,36.44,30.0,1860.0,337.0,1123.0,347.0,3.4926,INLAND,87050.15
-117.32,34.12,39.0,2210.0,498.0,1752.0,477.0,1.4066,INLAND,57499.523
-117.86,34.01,16.0,4632.0,,3038.0,727.0,5.1762,<1H OCEAN,220536.11
